question_id,db_id,p_t,r_t,f1_t,p_c,r_c,f1_c
1,SBODemoUS-Reports,0.0,0.0,0.0,0.0,0.0,0.0
2,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
3,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
4,ASIS_20161108_HerpInv_Database,0.0,0.0,0.0,0.0,0.0,0.0
5,NTSB,0.0,0.0,0.0,0.0,1.0,0.0
6,NorthernPlainsFireManagement,0.25,0.5,0.3333333333333333,0.25,0.2,0.22222222222222224
7,PacificIslandLandbirds,0.0,0.0,0.0,0.0,0.0,0.0
8,CratersWildlifeObservations,0.5,1.0,0.6666666666666666,0.5,0.5,0.5
9,NorthernPlainsFireManagement,0.25,1.0,0.4,0.0,0.0,0.0
10,NYSED_SRC2022,0.0,0.0,0.0,0.0,0.0,0.0
11,CratersWildlifeObservations,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666
12,SBODemoUS-General,0.11764705882352941,1.0,0.21052631578947367,0.15789473684210525,0.6,0.25
13,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
14,NorthernPlainsFireManagement,0.0,0.0,0.0,0.0,0.0,0.0
15,KlamathInvasiveSpecies,1.0,1.0,1.0,1.0,1.0,1.0
16,NYSED_SRC2022,0.0,0.0,0.0,0.0,0.0,0.0
17,ASIS_20161108_HerpInv_Database,0.0,0.0,0.0,0.0,0.0,0.0
18,NTSB,1.0,1.0,1.0,1.0,1.0,1.0
19,KlamathInvasiveSpecies,0.25,1.0,0.4,0.14285714285714285,1.0,0.25
20,KlamathInvasiveSpecies,0.125,1.0,0.2222222222222222,0.125,0.5,0.2
21,PacificIslandLandbirds,0.0,0.0,0.0,0.0,0.0,0.0
22,SBODemoUS-Finance,0.125,1.0,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.16666666666666666
23,CratersWildlifeObservations,0.16666666666666666,1.0,0.2857142857142857,0.375,0.75,0.5
24,CratersWildlifeObservations,0.5,1.0,0.6666666666666666,0.5,0.5,0.5
25,NYSED_SRC2022,0.0,0.0,0.0,0.0,0.0,0.0
26,NTSB,0.5,0.5,0.5,0.5,0.16666666666666666,0.25
27,SBODemoUS-Service,0.0,0.0,0.0,0.0,0.0,0.0
28,PacificIslandLandbirds,0.0,0.0,0.0,0.0,0.0,0.0
29,NTSB,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.1,0.16666666666666669
30,ASIS_20161108_HerpInv_Database,0.25,1.0,0.4,0.25,0.5,0.3333333333333333
31,SBODemoUS-General,0.0,0.0,0.0,0.0,0.0,0.0
32,SBODemoUS-Human Resources,0.08333333333333333,1.0,0.15384615384615385,0.08333333333333333,0.5,0.14285714285714285
33,NTSB,0.02631578947368421,1.0,0.05128205128205127,0.02564102564102564,0.5,0.048780487804878044
34,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
35,NTSB,0.5,1.0,0.6666666666666666,0.25,0.5,0.3333333333333333
36,NorthernPlainsFireManagement,1.0,1.0,1.0,1.0,1.0,1.0
37,NorthernPlainsFireManagement,0.0,0.0,0.0,0.0,0.0,0.0
38,SBODemoUS-Human Resources,0.0,0.0,0.0,0.0,0.0,0.0
39,ATBI,0.3333333333333333,0.5,0.4,0.3333333333333333,0.25,0.28571428571428575
40,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
