question_id,db_id,p_t,r_t,f1_t,p_c,r_c,f1_c
1,SBODemoUS-Reports,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666
2,NTSB,1.0,1.0,1.0,0.5,1.0,0.6666666666666666
3,NTSB,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8
4,ASIS_20161108_HerpInv_Database,1.0,0.5,0.6666666666666666,1.0,0.25,0.4
5,NTSB,0.3333333333333333,1.0,0.5,0.0,1.0,0.0
6,NorthernPlainsFireManagement,0.5,0.5,0.5,0.6666666666666666,0.4,0.5
7,PacificIslandLandbirds,1.0,1.0,1.0,1.0,1.0,1.0
8,CratersWildlifeObservations,1.0,1.0,1.0,1.0,1.0,1.0
9,NorthernPlainsFireManagement,1.0,1.0,1.0,1.0,1.0,1.0
10,NYSED_SRC2022,1.0,1.0,1.0,0.5,0.3333333333333333,0.4
11,CratersWildlifeObservations,1.0,0.5,0.6666666666666666,0.5,0.5,0.5
12,SBODemoUS-General,0.6666666666666666,1.0,0.8,1.0,1.0,1.0
13,NTSB,0.5,1.0,0.6666666666666666,1.0,1.0,1.0
14,NorthernPlainsFireManagement,0.5,0.5,0.5,1.0,0.6666666666666666,0.8
15,KlamathInvasiveSpecies,1.0,1.0,1.0,1.0,1.0,1.0
16,NYSED_SRC2022,0.2,0.5,0.28571428571428575,0.2857142857142857,0.5,0.36363636363636365
17,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,0.75,1.0,0.8571428571428571
18,NTSB,0.5,1.0,0.6666666666666666,1.0,1.0,1.0
19,KlamathInvasiveSpecies,1.0,1.0,1.0,1.0,1.0,1.0
20,KlamathInvasiveSpecies,0.2,1.0,0.33333333333333337,0.2,0.5,0.28571428571428575
21,PacificIslandLandbirds,1.0,1.0,1.0,1.0,1.0,1.0
22,SBODemoUS-Finance,0.2,1.0,0.33333333333333337,0.25,0.6666666666666666,0.36363636363636365
23,CratersWildlifeObservations,0.5,1.0,0.6666666666666666,0.3333333333333333,0.25,0.28571428571428575
24,CratersWildlifeObservations,0.5,1.0,0.6666666666666666,1.0,1.0,1.0
25,NYSED_SRC2022,1.0,0.5,0.6666666666666666,1.0,0.16666666666666666,0.2857142857142857
26,NTSB,0.6666666666666666,1.0,0.8,0.5,0.16666666666666666,0.25
27,SBODemoUS-Service,1.0,1.0,1.0,1.0,1.0,1.0
28,PacificIslandLandbirds,1.0,0.25,0.4,1.0,0.2,0.33333333333333337
29,NTSB,1.0,1.0,1.0,0.9090909090909091,1.0,0.9523809523809523
30,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,1.0,1.0,1.0
31,SBODemoUS-General,1.0,0.5,0.6666666666666666,1.0,0.2857142857142857,0.4444444444444445
32,SBODemoUS-Human Resources,1.0,1.0,1.0,1.0,1.0,1.0
33,NTSB,1.0,1.0,1.0,0.6666666666666666,1.0,0.8
34,NTSB,0.5,1.0,0.6666666666666666,0.6,1.0,0.7499999999999999
35,NTSB,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8
36,NorthernPlainsFireManagement,1.0,1.0,1.0,1.0,1.0,1.0
37,NorthernPlainsFireManagement,1.0,0.5,0.6666666666666666,0.5,0.25,0.3333333333333333
