question_id,db_id,p_t,r_t,f1_t,p_c,r_c,f1_c
1,SBODemoUS-Reports,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
2,NTSB,1.0,1.0,1.0,0.0,0.0,0.0
3,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
4,ASIS_20161108_HerpInv_Database,1.0,0.5,0.6666666666666666,1.0,0.25,0.4
5,NTSB,0.0,0.0,0.0,0.0,1.0,0.0
6,NorthernPlainsFireManagement,0.5,0.5,0.5,0.6666666666666666,0.4,0.5
7,PacificIslandLandbirds,1.0,1.0,1.0,1.0,1.0,1.0
8,CratersWildlifeObservations,1.0,1.0,1.0,1.0,1.0,1.0
9,NorthernPlainsFireManagement,1.0,1.0,1.0,1.0,1.0,1.0
10,NYSED_SRC2022,1.0,1.0,1.0,0.5,0.3333333333333333,0.4
11,CratersWildlifeObservations,1.0,0.5,0.6666666666666666,0.5,0.5,0.5
12,SBODemoUS-General,0.0,0.0,0.0,0.0,0.0,0.0
13,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
14,NorthernPlainsFireManagement,0.5,0.5,0.5,1.0,0.6666666666666666,0.8
15,KlamathInvasiveSpecies,1.0,1.0,1.0,1.0,1.0,1.0
16,NYSED_SRC2022,0.2,0.5,0.28571428571428575,0.2857142857142857,0.5,0.36363636363636365
17,ASIS_20161108_HerpInv_Database,1.0,0.5,0.6666666666666666,0.0,0.0,0.0
18,NTSB,0.5,1.0,0.6666666666666666,1.0,1.0,1.0
19,KlamathInvasiveSpecies,1.0,1.0,1.0,1.0,1.0,1.0
20,KlamathInvasiveSpecies,0.2,1.0,0.33333333333333337,0.2,0.5,0.28571428571428575
21,PacificIslandLandbirds,1.0,0.25,0.4,1.0,0.14285714285714285,0.25
22,SBODemoUS-Finance,0.2,1.0,0.33333333333333337,0.25,0.6666666666666666,0.36363636363636365
23,CratersWildlifeObservations,0.5,1.0,0.6666666666666666,0.3333333333333333,0.25,0.28571428571428575
24,CratersWildlifeObservations,0.5,1.0,0.6666666666666666,1.0,1.0,1.0
25,NYSED_SRC2022,1.0,0.5,0.6666666666666666,1.0,0.16666666666666666,0.2857142857142857
26,NTSB,0.6666666666666666,1.0,0.8,0.5,0.16666666666666666,0.25
27,SBODemoUS-Service,0.0,0.0,0.0,0.0,0.0,0.0
28,PacificIslandLandbirds,1.0,0.25,0.4,1.0,0.2,0.33333333333333337
29,NTSB,1.0,0.6666666666666666,0.8,0.5,0.1,0.16666666666666669
30,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,1.0,1.0,1.0
31,SBODemoUS-General,1.0,0.5,0.6666666666666666,1.0,0.2857142857142857,0.4444444444444445
32,SBODemoUS-Human Resources,1.0,1.0,1.0,1.0,1.0,1.0
33,NTSB,1.0,1.0,1.0,0.0,0.0,0.0
34,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
35,NTSB,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8
36,NorthernPlainsFireManagement,1.0,1.0,1.0,1.0,1.0,1.0
37,NorthernPlainsFireManagement,1.0,0.5,0.6666666666666666,0.5,0.25,0.3333333333333333
38,SBODemoUS-Human Resources,1.0,0.6666666666666666,0.8,0.5,0.2,0.28571428571428575
39,ATBI,0.5,0.5,0.5,0.6666666666666666,0.5,0.5714285714285715
40,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
41,SBODemoUS-Banking,0.0,0.0,0.0,0.0,0.0,0.0
42,SBODemoUS-Sales Opportunities,0.0,0.0,0.0,0.0,0.0,0.0
43,ASIS_20161108_HerpInv_Database,1.0,0.3333333333333333,0.5,1.0,0.16666666666666666,0.2857142857142857
44,NTSB,1.0,1.0,1.0,0.0,0.0,0.0
45,NorthernPlainsFireManagement,0.5,1.0,0.6666666666666666,0.8,1.0,0.888888888888889
46,NorthernPlainsFireManagement,0.5,1.0,0.6666666666666666,0.3333333333333333,0.25,0.28571428571428575
47,NYSED_SRC2022,1.0,1.0,1.0,0.75,0.6,0.6666666666666665
48,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,1.0,1.0,1.0
49,SBODemoUS-Reports,0.0,0.0,0.0,0.0,0.0,0.0
50,CratersWildlifeObservations,1.0,0.5,0.6666666666666666,1.0,0.6666666666666666,0.8
51,NYSED_SRC2022,1.0,0.5,0.6666666666666666,1.0,0.4,0.5714285714285715
52,KlamathInvasiveSpecies,0.5,1.0,0.6666666666666666,0.3333333333333333,0.5,0.4
53,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,1.0,1.0,1.0
54,NorthernPlainsFireManagement,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8
55,NTSB,1.0,0.5,0.6666666666666666,0.0,0.0,0.0
56,NYSED_SRC2022,1.0,1.0,1.0,0.0,0.0,0.0
57,SBODemoUS-Business Partners,0.0,0.0,0.0,0.0,0.0,0.0
58,ATBI,0.5,0.3333333333333333,0.4,0.0,0.0,0.0
59,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
60,PacificIslandLandbirds,1.0,1.0,1.0,0.6666666666666666,0.4,0.5
61,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,1.0,1.0,1.0
62,SBODemoUS-Service,0.0,0.0,0.0,0.0,0.0,0.0
63,PacificIslandLandbirds,1.0,1.0,1.0,1.0,0.3333333333333333,0.5
64,NYSED_SRC2022,1.0,0.5,0.6666666666666666,1.0,0.4,0.5714285714285715
65,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
66,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,0.5,0.5,0.5
67,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
68,NYSED_SRC2022,0.2,1.0,0.33333333333333337,0.0,0.0,0.0
69,ATBI,0.6666666666666666,1.0,0.8,1.0,0.3333333333333333,0.5
70,CratersWildlifeObservations,1.0,0.5,0.6666666666666666,0.0,0.0,0.0
71,ATBI,0.0,0.0,0.0,0.0,0.0,0.0
72,NTSB,1.0,1.0,1.0,0.0,0.0,0.0
73,KlamathInvasiveSpecies,1.0,1.0,1.0,0.6666666666666666,0.4444444444444444,0.5333333333333333
74,NYSED_SRC2022,0.0,0.0,0.0,0.0,0.0,0.0
