question_id,db_id,p_t,r_t,f1_t,p_c,r_c,f1_c
1,SBODemoUS-Reports,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
2,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
3,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
4,ASIS_20161108_HerpInv_Database,1.0,0.5,0.6666666666666666,1.0,0.25,0.4
5,NTSB,0.0,0.0,0.0,0.0,1.0,0.0
6,NorthernPlainsFireManagement,0.0,0.0,0.0,0.0,0.0,0.0
7,PacificIslandLandbirds,1.0,1.0,1.0,1.0,1.0,1.0
8,CratersWildlifeObservations,1.0,1.0,1.0,1.0,1.0,1.0
9,NorthernPlainsFireManagement,1.0,1.0,1.0,0.5,0.5,0.5
10,NYSED_SRC2022,1.0,1.0,1.0,0.5,0.3333333333333333,0.4
11,CratersWildlifeObservations,1.0,0.5,0.6666666666666666,0.5,0.5,0.5
12,SBODemoUS-General,0.15384615384615385,1.0,0.2666666666666667,0.2,0.6,0.3
13,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
14,NorthernPlainsFireManagement,0.5,0.5,0.5,1.0,0.6666666666666666,0.8
15,KlamathInvasiveSpecies,1.0,1.0,1.0,1.0,1.0,1.0
16,NYSED_SRC2022,0.09090909090909091,0.5,0.15384615384615385,0.2,0.5,0.28571428571428575
17,ASIS_20161108_HerpInv_Database,1.0,0.5,0.6666666666666666,0.0,0.0,0.0
18,NTSB,0.5,1.0,0.6666666666666666,1.0,1.0,1.0
19,KlamathInvasiveSpecies,1.0,1.0,1.0,1.0,1.0,1.0
20,KlamathInvasiveSpecies,1.0,1.0,1.0,0.5,0.5,0.5
21,PacificIslandLandbirds,1.0,0.25,0.4,1.0,0.14285714285714285,0.25
22,SBODemoUS-Finance,0.04,1.0,0.07692307692307693,0.07142857142857142,0.6666666666666666,0.12903225806451613
23,CratersWildlifeObservations,1.0,1.0,1.0,0.0,0.0,0.0
24,CratersWildlifeObservations,0.5,1.0,0.6666666666666666,1.0,1.0,1.0
25,NYSED_SRC2022,0.07407407407407407,1.0,0.13793103448275862,0.037037037037037035,0.16666666666666666,0.06060606060606061
26,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
27,SBODemoUS-Service,0.0,0.0,0.0,0.0,0.0,0.0
28,PacificIslandLandbirds,1.0,0.25,0.4,1.0,0.2,0.33333333333333337
29,NTSB,1.0,0.3333333333333333,0.5,0.5,0.1,0.16666666666666669
30,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,1.0,1.0,1.0
31,SBODemoUS-General,1.0,0.5,0.6666666666666666,1.0,0.42857142857142855,0.6
32,SBODemoUS-Human Resources,1.0,1.0,1.0,1.0,1.0,1.0
33,NTSB,1.0,1.0,1.0,0.0,0.0,0.0
34,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
35,NTSB,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8
36,NorthernPlainsFireManagement,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666
37,NorthernPlainsFireManagement,1.0,1.0,1.0,1.0,0.5,0.6666666666666666
38,SBODemoUS-Human Resources,1.0,0.6666666666666666,0.8,0.5,0.2,0.28571428571428575
39,ATBI,0.18181818181818182,1.0,0.3076923076923077,0.25,0.75,0.375
40,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
41,SBODemoUS-Banking,0.0,0.0,0.0,0.0,0.0,0.0
42,SBODemoUS-Sales Opportunities,0.0,0.0,0.0,0.0,0.0,0.0
43,ASIS_20161108_HerpInv_Database,1.0,0.3333333333333333,0.5,1.0,0.16666666666666666,0.2857142857142857
44,NTSB,0.5,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715
45,NorthernPlainsFireManagement,0.5,1.0,0.6666666666666666,0.8,1.0,0.888888888888889
