question_id,db_id,p_t,r_t,f1_t,p_c,r_c,f1_c
1,SBODemoUS-Reports,0.0,0.0,0.0,0.0,0.0,0.0
2,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
3,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
4,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,0.5,0.5,0.5
5,NTSB,0.0,0.0,0.0,0.0,1.0,0.0
6,NorthernPlainsFireManagement,0.5,0.5,0.5,0.5,0.2,0.28571428571428575
7,PacificIslandLandbirds,0.0,0.0,0.0,0.0,0.0,0.0
8,CratersWildlifeObservations,1.0,1.0,1.0,1.0,1.0,1.0
9,NorthernPlainsFireManagement,0.5,1.0,0.6666666666666666,0.3333333333333333,0.5,0.4
10,NYSED_SRC2022,0.0,0.0,0.0,0.0,0.0,0.0
11,CratersWildlifeObservations,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666
12,SBODemoUS-General,0.0,0.0,0.0,0.0,0.0,0.0
13,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
14,NorthernPlainsFireManagement,0.0,0.0,0.0,0.0,0.0,0.0
15,KlamathInvasiveSpecies,1.0,1.0,1.0,1.0,1.0,1.0
16,NYSED_SRC2022,0.0,0.0,0.0,0.0,0.0,0.0
17,ASIS_20161108_HerpInv_Database,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5
18,NTSB,1.0,1.0,1.0,1.0,1.0,1.0
19,KlamathInvasiveSpecies,0.5,0.5,0.5,0.5,0.5,0.5
20,KlamathInvasiveSpecies,0.2,1.0,0.33333333333333337,0.1,0.5,0.16666666666666669
21,PacificIslandLandbirds,1.0,0.25,0.4,1.0,0.14285714285714285,0.25
22,SBODemoUS-Finance,0.125,1.0,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.16666666666666666
23,CratersWildlifeObservations,0.5,1.0,0.6666666666666666,0.3333333333333333,0.25,0.28571428571428575
24,CratersWildlifeObservations,1.0,1.0,1.0,1.0,1.0,1.0
25,NYSED_SRC2022,1.0,0.5,0.6666666666666666,0.5,0.16666666666666666,0.25
26,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
27,SBODemoUS-Service,1.0,0.5,0.6666666666666666,0.0,0.0,0.0
28,PacificIslandLandbirds,1.0,0.25,0.4,1.0,0.2,0.33333333333333337
29,NTSB,1.0,0.3333333333333333,0.5,1.0,0.2,0.33333333333333337
30,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,0.5,0.5,0.5
31,SBODemoUS-General,0.0,0.0,0.0,0.0,0.0,0.0
32,SBODemoUS-Human Resources,0.08333333333333333,1.0,0.15384615384615385,0.08333333333333333,0.5,0.14285714285714285
33,NTSB,1.0,1.0,1.0,0.0,0.0,0.0
34,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
35,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
36,NorthernPlainsFireManagement,1.0,1.0,1.0,0.5,1.0,0.6666666666666666
37,NorthernPlainsFireManagement,1.0,1.0,1.0,0.5,0.25,0.3333333333333333
38,SBODemoUS-Human Resources,0.0,0.0,0.0,0.0,0.0,0.0
39,ATBI,1.0,0.5,0.6666666666666666,1.0,0.25,0.4
40,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
41,SBODemoUS-Banking,0.0,0.0,0.0,0.0,0.0,0.0
