question_id,db_id,p_t,r_t,f1_t,p_c,r_c,f1_c
1,SBODemoUS-Reports,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
2,NTSB,1.0,1.0,1.0,0.0,0.0,0.0
3,NTSB,1.0,1.0,1.0,0.0,0.0,0.0
4,ASIS_20161108_HerpInv_Database,1.0,0.5,0.6666666666666666,1.0,0.25,0.4
5,NTSB,0.0,0.0,0.0,0.0,1.0,0.0
6,NorthernPlainsFireManagement,0.5,0.5,0.5,0.16666666666666666,0.2,0.1818181818181818
7,PacificIslandLandbirds,1.0,1.0,1.0,1.0,1.0,1.0
8,CratersWildlifeObservations,1.0,1.0,1.0,1.0,1.0,1.0
9,NorthernPlainsFireManagement,1.0,1.0,1.0,0.25,0.5,0.3333333333333333
10,NYSED_SRC2022,1.0,1.0,1.0,1.0,0.6666666666666666,0.8
11,CratersWildlifeObservations,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666
12,SBODemoUS-General,0.4,1.0,0.5714285714285715,0.42857142857142855,0.6,0.5
13,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
14,NorthernPlainsFireManagement,1.0,1.0,1.0,0.5,0.3333333333333333,0.4
15,KlamathInvasiveSpecies,1.0,1.0,1.0,1.0,1.0,1.0
16,NYSED_SRC2022,1.0,0.5,0.6666666666666666,0.8,0.5,0.6153846153846154
17,ASIS_20161108_HerpInv_Database,1.0,0.5,0.6666666666666666,0.0,0.0,0.0
18,NTSB,1.0,1.0,1.0,1.0,1.0,1.0
19,KlamathInvasiveSpecies,0.0,0.0,0.0,0.0,0.0,0.0
20,KlamathInvasiveSpecies,0.0,0.0,0.0,0.0,0.0,0.0
21,PacificIslandLandbirds,1.0,0.25,0.4,0.5,0.14285714285714285,0.22222222222222224
22,SBODemoUS-Finance,0.2,1.0,0.33333333333333337,0.25,0.6666666666666666,0.36363636363636365
23,CratersWildlifeObservations,1.0,1.0,1.0,0.5714285714285714,1.0,0.7272727272727273
24,CratersWildlifeObservations,1.0,1.0,1.0,1.0,1.0,1.0
25,NYSED_SRC2022,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666
26,NTSB,0.6666666666666666,1.0,0.8,0.5,0.16666666666666666,0.25
27,SBODemoUS-Service,1.0,0.5,0.6666666666666666,0.5,0.16666666666666666,0.25
28,PacificIslandLandbirds,1.0,0.25,0.4,1.0,0.2,0.33333333333333337
29,NTSB,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.1,0.16666666666666669
30,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,0.5,0.5,0.5
31,SBODemoUS-General,0.0,0.0,0.0,0.0,0.0,0.0
32,SBODemoUS-Human Resources,1.0,1.0,1.0,1.0,1.0,1.0
33,NTSB,0.5,1.0,0.6666666666666666,0.2,0.5,0.28571428571428575
34,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
35,NTSB,0.5,1.0,0.6666666666666666,0.4,1.0,0.5714285714285715
36,NorthernPlainsFireManagement,1.0,1.0,1.0,1.0,1.0,1.0
37,NorthernPlainsFireManagement,1.0,1.0,1.0,0.3333333333333333,0.25,0.28571428571428575
38,SBODemoUS-Human Resources,1.0,0.3333333333333333,0.5,0.0,0.0,0.0
39,ATBI,0.2,0.5,0.28571428571428575,0.2,0.25,0.22222222222222224
40,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
41,SBODemoUS-Banking,1.0,0.5,0.6666666666666666,0.5,0.3333333333333333,0.4
42,SBODemoUS-Sales Opportunities,0.0,0.0,0.0,0.0,0.0,0.0
43,ASIS_20161108_HerpInv_Database,1.0,0.3333333333333333,0.5,0.0,0.0,0.0
44,NTSB,1.0,1.0,1.0,1.0,0.75,0.8571428571428571
45,NorthernPlainsFireManagement,0.5,1.0,0.6666666666666666,0.2857142857142857,0.5,0.36363636363636365
46,NorthernPlainsFireManagement,0.5,1.0,0.6666666666666666,0.2857142857142857,0.5,0.36363636363636365
47,NYSED_SRC2022,1.0,1.0,1.0,1.0,0.6,0.7499999999999999
48,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,1.0,1.0,1.0
49,SBODemoUS-Reports,1.0,1.0,1.0,1.0,1.0,1.0
50,CratersWildlifeObservations,1.0,1.0,1.0,1.0,0.6666666666666666,0.8
51,NYSED_SRC2022,1.0,0.5,0.6666666666666666,1.0,0.6,0.7499999999999999
52,KlamathInvasiveSpecies,1.0,1.0,1.0,0.6666666666666666,1.0,0.8
53,ASIS_20161108_HerpInv_Database,0.25,1.0,0.4,0.3333333333333333,0.6666666666666666,0.4444444444444444
54,NorthernPlainsFireManagement,1.0,1.0,1.0,1.0,1.0,1.0
55,NTSB,1.0,0.5,0.6666666666666666,0.25,0.16666666666666666,0.2
56,NYSED_SRC2022,1.0,1.0,1.0,0.0,0.0,0.0
57,SBODemoUS-Business Partners,0.0,0.0,0.0,0.0,0.0,0.0
58,ATBI,0.5,0.3333333333333333,0.4,0.6666666666666666,0.2857142857142857,0.4
59,NTSB,1.0,1.0,1.0,0.0,0.0,0.0
60,PacificIslandLandbirds,1.0,1.0,1.0,1.0,0.6,0.7499999999999999
61,ASIS_20161108_HerpInv_Database,0.0,0.0,0.0,0.0,0.0,0.0
62,SBODemoUS-Service,0.0,0.0,0.0,0.0,0.0,0.0
63,PacificIslandLandbirds,1.0,0.5,0.6666666666666666,0.09090909090909091,0.3333333333333333,0.14285714285714288
64,NYSED_SRC2022,0.0,0.0,0.0,0.0,0.0,0.0
65,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
66,ASIS_20161108_HerpInv_Database,0.0,0.0,0.0,0.0,0.0,0.0
67,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
68,NYSED_SRC2022,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
69,ATBI,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
70,CratersWildlifeObservations,1.0,0.5,0.6666666666666666,0.5,0.3333333333333333,0.4
71,ATBI,1.0,1.0,1.0,0.0,0.0,0.0
72,NTSB,1.0,1.0,1.0,0.0,0.0,0.0
73,KlamathInvasiveSpecies,1.0,1.0,1.0,1.0,0.6666666666666666,0.8
